STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
20,346,02495,347134,Khokha,449,3124,KHARAUNDHI,112576,SUNDI,,
20,346,02495,347135,Chandna,669,3124,KHARAUNDHI,112576,SUNDI,,
20,346,02495,347136,Pipra,995,3124,KHARAUNDHI,112576,SUNDI,,
20,346,02495,347137,Husru,2335,3124,KHARAUNDHI,112570,KARIWADIH,,
20,346,02495,347138,Bhaluhi Alias Kariwadih,2605,3124,KHARAUNDHI,112570,KARIWADIH,,
20,346,02495,347139,Sundi,2753,3124,KHARAUNDHI,112576,SUNDI,,
20,346,02495,347140,Pipri,913,3124,KHARAUNDHI,112574,RAJI,,
20,346,02495,347141,Raje,4221,3124,KHARAUNDHI,112574,RAJI,,
20,346,02495,347142,Kharaundhi,7048,3124,KHARAUNDHI,112571,KHARAUNDHI,,
20,346,02495,347143,Chandni,4950,3124,KHARAUNDHI,112569,CHANDANI,,
20,346,02495,347144,Lami Alias  Sarahia,1676,3124,KHARAUNDHI,112573,MAJHIGAWAN (AMARORA),,
20,346,02495,347145,Amrora,2195,3124,KHARAUNDHI,112573,MAJHIGAWAN (AMARORA),,
20,346,02495,347146,Majhganwan,3025,3124,KHARAUNDHI,112573,MAJHIGAWAN (AMARORA),,
20,346,02495,347147,Kupa,2929,3124,KHARAUNDHI,112572,KUPA,,
20,346,02495,347148,Hendea  Alias Baitri,1592,3124,KHARAUNDHI,112575,SISARI,,
20,346,02495,347149,Baitra,1121,3124,KHARAUNDHI,112572,KUPA,,
20,346,02495,347150,Sisri,3534,3124,KHARAUNDHI,112575,SISARI,,
20,346,02495,347151,Torelawa,1819,3124,KHARAUNDHI,112568,ARANGI,,
20,346,02495,347152,Arangi,4301,3124,KHARAUNDHI,112568,ARANGI,,
20,346,02495,347153,Aunraia Alias Chauria,2349,3124,KHARAUNDHI,112572,KUPA,,
20,346,02496,347154,Rohinian,3249,3118,BHAWNATHPUR,112485,BANSANI,,
20,346,02496,347155,Bansani,6123,3118,BHAWNATHPUR,112485,BANSANI,,
20,346,02496,347156,Barwari,1107,3118,BHAWNATHPUR,112494,MAKRI,,
20,346,02496,347157,Makri,9348,3118,BHAWNATHPUR,112494,MAKRI,,
20,346,02496,347158,Dhanimandra,628,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347159,Garda,290,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347160,Adhaura,621,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347161,Pandaria,2375,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347162,Singhitali,2440,3118,BHAWNATHPUR,112487,CHAPRI,,
20,346,02496,347163,Chapri,3385,3118,BHAWNATHPUR,112487,CHAPRI,,
20,346,02496,347164,Saraia,1210,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347165,Gorgonwan,90,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347166,Bhawanathpur,3962,3118,BHAWNATHPUR,112486,BHAWNATHPUR,,
20,346,02496,347167,Buka,4270,3118,BHAWNATHPUR,112486,BHAWNATHPUR,,
20,346,02496,347168,Arsali,12037,3118,BHAWNATHPUR,112483,ARSALI (SOUTH),,
20,346,02496,347169,Ghaghra,776,3118,BHAWNATHPUR,112497,PANDARIA,,
20,346,02496,347170,Kailan,3876,3118,BHAWNATHPUR,112490,KAILAN,,
20,346,02496,347171,Phulwar,442,3118,BHAWNATHPUR,112490,KAILAN,,
20,346,02496,347172,Konmandra,1872,3118,BHAWNATHPUR,112490,KAILAN,,
20,346,02496,347173,Hariharpur,3134,3118,BHAWNATHPUR,112489,HARIHARPUR,,
20,346,02496,347174,Rapura,2050,3118,BHAWNATHPUR,112489,HARIHARPUR,,
20,346,02496,347175,Majhganwan,8280,3118,BHAWNATHPUR,112493,MAJHIGAWAN,,
20,346,02496,347176,Bato,1172,3118,BHAWNATHPUR,112489,HARIHARPUR,,
20,346,02496,347177,Dagar,933,3118,BHAWNATHPUR,112489,HARIHARPUR,,
20,346,02496,347178,Srinagar,580,3118,BHAWNATHPUR,112488,DUMARSOTA,,
20,346,02496,347179,Daridah,2059,3118,BHAWNATHPUR,112488,DUMARSOTA,,
20,346,02496,347180,Dumarsola,3748,3118,BHAWNATHPUR,112488,DUMARSOTA,,
20,346,02496,347181,Sinduria (CT),5262,0,,112500,SINDURIA,,
20,346,02497,347182,Checharia,2011,6627,KETAR,112484,BALIGARH,,
20,346,02497,347183,Khonhar,2376,6627,KETAR,112484,BALIGARH,,
20,346,02497,347184,Chhata Kund,1528,6627,KETAR,112499,PARTI KUSHWANI,,
20,346,02497,347185,Parti Kuswani,4645,6627,KETAR,112499,PARTI KUSHWANI,,
20,346,02497,347186,Munmun,36,6627,KETAR,112499,PARTI KUSHWANI,,
20,346,02497,347187,Pachadumar,4423,6627,KETAR,112496,PACHADUMAR,,
20,346,02497,347188,Bato Kalan,1272,6627,KETAR,112499,PARTI KUSHWANI,,
20,346,02497,347189,Ketri,868,6627,KETAR,112491,KETAR,,
20,346,02497,347190,Baligarh,2949,6627,KETAR,112484,BALIGARH,,
20,346,02497,347191,Ketar,4167,6627,KETAR,112491,KETAR,,
20,346,02497,347192,Panditpura,283,6627,KETAR,112491,KETAR,,
20,346,02497,347193,Nawadih,1824,6627,KETAR,112491,KETAR,,
20,346,02497,347194,Gamharia,293,6627,KETAR,112496,PACHADUMAR,,
20,346,02497,347195,Bijdih,1313,6627,KETAR,112496,PACHADUMAR,,
20,346,02497,347196,Chandih,910,6627,KETAR,112496,PACHADUMAR,,
20,346,02497,347197,Khairwa,854,6627,KETAR,112496,PACHADUMAR,,
20,346,02497,347198,Tali,1940,6627,KETAR,112495,MUKUNDPUR,,
20,346,02497,347199,Baksipur,609,6627,KETAR,112495,MUKUNDPUR,,
20,346,02497,347200,Singhpur,995,6627,KETAR,112495,MUKUNDPUR,,
20,346,02497,347201,Makundpur,2309,6627,KETAR,112495,MUKUNDPUR,,
20,346,02497,347202,Belabar,1161,6627,KETAR,112495,MUKUNDPUR,,
20,346,02497,347203,Parsodih,2622,6627,KETAR,112498,PARSODIH,,
20,346,02497,347204,Khadhwan,722,6627,KETAR,112498,PARSODIH,,
20,346,02497,347205,Bansdih Khurd,865,6627,KETAR,112498,PARSODIH,,
20,346,02497,347206,Bansdih Kalan,1768,6627,KETAR,112498,PARSODIH,,
20,346,02497,347207,Chaura,933,6627,KETAR,112498,PARSODIH,,
20,346,02497,347208,Kosdehra,402,6627,KETAR,112492,LOHARGADA,,
20,346,02497,347209,Gurur,636,6627,KETAR,112492,LOHARGADA,,
20,346,02497,347210,Merauni Chherhat,2149,6627,KETAR,112492,LOHARGADA,,
20,346,02497,347211,Lohargara,2019,6627,KETAR,112492,LOHARGADA,,
20,346,02497,347212,Hurka,1939,6627,KETAR,112492,LOHARGADA,,
20,346,02498,347213,Bhandaria,943,3123,KANDI,112565,RANADIH,,
20,346,02498,347214,Sohgara,1146,3123,KANDI,112565,RANADIH,,
20,346,02498,347215,Ranadih,1625,3123,KANDI,112565,RANADIH,,
20,346,02498,347216,Rambandh,718,3123,KANDI,112565,RANADIH,,
20,346,02498,347217,Kurkuta,706,3123,KANDI,112565,RANADIH,,
20,346,02498,347218,Madra Nisf Nizamat,947,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347219,Checharia Khurd,616,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347220,Checharia Kalan,24,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347221,Dhelka,500,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347222,Mainpura,27,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347223,Bahera,325,3123,KANDI,112559,KANDI,,
20,346,02498,347224,Shivpur,1796,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347225,Deodih,844,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347226,Adhaura,787,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347227,Teliabandh,104,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347228,Telia Nizamat,245,3123,KANDI,112567,SHIVPUR,,
20,346,02498,347229,Gardaha,599,3123,KANDI,112561,KHUTAHERIA,,
20,346,02498,347230,Gosang,1960,3123,KANDI,112561,KHUTAHERIA,,
20,346,02498,347231,Khutheria,3089,3123,KANDI,112561,KHUTAHERIA,,
20,346,02498,347232,Kusha,881,3123,KANDI,112559,KANDI,,
20,346,02498,347233,Sanni,775,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347234,Hariganwan,1446,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347235,Sabua,319,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347236,Patariha,438,3123,KANDI,112563,PATARIA,,
20,346,02498,347237,Kirya,500,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347238,Belopati,336,3123,KANDI,112561,KHUTAHERIA,,
20,346,02498,347239,Basu Khap,500,3123,KANDI,112561,KHUTAHERIA,,
20,346,02498,347240,Hundraha,500,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347241,Misraulia,500,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347242,Ghatahua Kalan,1499,3123,KANDI,112558,GHATAHUA KALAN,,
20,346,02498,347243,Raja Ghatahua,911,3123,KANDI,112558,GHATAHUA KALAN,,
20,346,02498,347244,Sarkoni,1684,3123,KANDI,112566,SARKONI,,
20,346,02498,347245,Patriya,1579,3123,KANDI,112562,LAMARI KALAN,,
20,346,02498,347246,Panrepura,500,3123,KANDI,112566,SARKONI,,
20,346,02498,347247,Karma,61,3123,KANDI,112566,SARKONI,,
20,346,02498,347248,Misraulia,162,3123,KANDI,112563,PATARIA,,
20,346,02498,347249,Bhilma,901,3123,KANDI,112555,BALIYARI,,
20,346,02498,347250,Naubhilma,203,3123,KANDI,112555,BALIYARI,,
20,346,02498,347251,Gujaria,500,3123,KANDI,112555,BALIYARI,,
20,346,02498,347252,Nawadih,360,3123,KANDI,112563,PATARIA,,
20,346,02498,347253,Sonpura,807,3123,KANDI,112555,BALIYARI,,
20,346,02498,347254,Mahatwana,500,3123,KANDI,112555,BALIYARI,,
20,346,02498,347255,Chandrapura,195,3123,KANDI,112555,BALIYARI,,
20,346,02498,347256,Amdiha,192,3123,KANDI,112555,BALIYARI,,
20,346,02498,347257,Jamua,649,3123,KANDI,112555,BALIYARI,,
20,346,02498,347258,Patakpura,500,3123,KANDI,112555,BALIYARI,,
20,346,02498,347259,Kakanpura,500,3123,KANDI,112555,BALIYARI,,
20,346,02498,347260,Baliari,3776,3123,KANDI,112555,BALIYARI,,
20,346,02498,347261,Marhatia,210,3123,KANDI,112564,PATILA,,
20,346,02498,347262,Patila,2806,3123,KANDI,112564,PATILA,,
20,346,02498,347263,Semaura,1108,3123,KANDI,112566,SARKONI,,
20,346,02498,347264,Nausemaura,500,3123,KANDI,112566,SARKONI,,
20,346,02498,347265,Mahuli,634,3123,KANDI,112566,SARKONI,,
20,346,02498,347266,Dema,665,3123,KANDI,112566,SARKONI,,
20,346,02498,347267,Sonpurwa,858,3123,KANDI,112567,SHIVPUR,,
