STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
18,300,02001,279595,Khokhshaguri Block,224,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279596,Khukshiguri No.3,157,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279597,Khukshiguri No.1,811,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279598,Moktaigaon-I,956,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279599,SapkataNo.1,1692,2637,Kachugaon,253703,Sapkata,,
18,300,02001,279600,Matiapara No.1,3913,2637,Kachugaon,253703,Sapkata,,
18,300,02001,279601,Matiapara No.2,1289,2637,Kachugaon,253703,Sapkata,,
18,300,02001,279602,Borjabil No.1,807,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279603,Shyamdasguri,438,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279604,Kathalguri,223,2637,Kachugaon,253717,Borobadha,,
18,300,02001,279605,Kanhupara No.1,1069,2637,Kachugaon,253717,Borobadha,,
18,300,02001,279606,Kanhupara No.2,1338,2637,Kachugaon,253720,Hudumkata,,
18,300,02001,279607,Hatigarh No.1,2040,2637,Kachugaon,253541,Hatigarh,,
18,300,02001,279608,Thaigirguri,254,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279609,Panbari No.2,932,2637,Kachugaon,253732,Panbari,,
18,300,02001,279610,Panbari No.3,51,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279611,Fersuabari No.1,65,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279612,Fersuabari No.2,140,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279613,Durabil,492,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279614,Gambariguri,415,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279615,Narayanpur,460,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279616,Simlaguri No.1,124,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279617,Panbari No.1,1069,2637,Kachugaon,253732,Panbari,,
18,300,02001,279618,Hatigarh No.2,904,2637,Kachugaon,253541,Hatigarh,,
18,300,02001,279619,Joymaguri No.1,1527,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279620,Kandanapara No.1,1048,2637,Kachugaon,253715,Ballimari,,
18,300,02001,279621,Saljuri No.2,389,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279622,Saljuri No.1,325,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279623,Borjabil No.2,667,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279624,Hashrawbari-II,1970,2637,Kachugaon,253701,Hawriapet,,
18,300,02001,279625,Hashrawbari-I,1451,2637,Kachugaon,253701,Hawriapet,,
18,300,02001,279626,SapkataNo.2,997,2637,Kachugaon,253703,Sapkata,,
18,300,02001,279627,Haoriapet-I,1441,2637,Kachugaon,253701,Hawriapet,,
18,300,02001,279628,Haoriapet-II,1963,2637,Kachugaon,253701,Hawriapet,,
18,300,02001,279629,Bajugaon No.2,524,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279630,Moktaigaon-II,979,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279631,Khukshiguri No.2,661,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279632,Jaraguri Block,85,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279633,Jaraguri P.G.R.-I,351,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279634,Jaraguri No.1,625,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279635,Bajugaon No.1,844,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279636,Goladangi No.1,631,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279637,Goladangi No.2,904,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279638,Burichatam No.1,1102,2637,Kachugaon,253700,Bhomrabil,,
18,300,02001,279639,Palashguri-II,1579,2637,Kachugaon,253702,Polashguri,,
18,300,02001,279640,Palashguri-I,1240,2637,Kachugaon,253629,Polashguri Debitola,,
18,300,02001,279641,Panowari,1071,2637,Kachugaon,253713,Malaguri,,
18,300,02001,279642,Saljuri No.3,367,2637,Kachugaon,253706,Barzabil,,
18,300,02001,279643,Kandanapara No.2,424,2637,Kachugaon,253715,Ballimari,,
18,300,02001,279644,Joyma No.2,1062,2637,Kachugaon,253720,Hudumkata,,
18,300,02001,279645,Garokotora No.1,652,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279646,Gardanpara,894,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279647,Simlaguri No.2,95,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279648,Gambaribil,707,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279649,Sinsilabari,172,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279650,Mukuldanga No.1,222,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279653,Pachim Mukuldang,153,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279654,Uttar Saulmari,461,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279655,Dakhin Kaimari,192,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279656,Mukuldanga No.2,136,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279657,Narongguri,321,2637,Kachugaon,253733,Satyapur,,
18,300,02001,279658,Kaimari,292,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279659,Rajadabri,329,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279660,Alinagar No.1,292,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279661,Garokotora No.2,65,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279662,Odlaguri No.2,435,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279663,Bhodiaguri No.1,1047,2637,Kachugaon,253717,Borobadha,,
18,300,02001,279664,Ballimari,584,2637,Kachugaon,253715,Ballimari,,
18,300,02001,279665,Malaguri,496,2637,Kachugaon,253713,Malaguri,,
18,300,02001,279666,Ballamguri,1937,2637,Kachugaon,253713,Malaguri,,
18,300,02001,279667,Bhomrabil-II,2494,2637,Kachugaon,253700,Bhomrabil,,
18,300,02001,279668,Burichatam No.2,874,2637,Kachugaon,253700,Bhomrabil,,
18,300,02001,279669,Bhomrabil-I,1933,2637,Kachugaon,253700,Bhomrabil,,
18,300,02001,279670,Dawaguri No.1,776,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279671,Gokulkhata No.1,1689,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279672,Jaraguri No.2,1086,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279673,Jaraguri P.G.R.-II,174,2637,Kachugaon,253712,Maktaigaon,,
18,300,02001,279674,Gokulkhata No.2 Block,709,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279675,Gokulkhata No.2,549,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279676,Dawaguri No.2,653,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279677,Dawaguri No.3,1779,2637,Kachugaon,253710,Jaraguri Goladangi,,
18,300,02001,279678,Simultapu -I,1781,2637,Kachugaon,253704,Simultapu,,
18,300,02001,279679,Simultapu P.G.R.,1162,2637,Kachugaon,253704,Simultapu,,
18,300,02001,279680,Simultapu Block,980,2637,Kachugaon,253704,Simultapu,,
18,300,02001,279681,Simultapu No.II,1582,2637,Kachugaon,253704,Simultapu,,
18,300,02001,279682,Simultapu-III,2117,2637,Kachugaon,253704,Simultapu,,
18,300,02001,279683,Silbhaji,312,2637,Kachugaon,253715,Ballimari,,
18,300,02001,279684,Bhodiaguri No.2,354,2637,Kachugaon,253715,Ballimari,,
18,300,02001,279685,Hudumkhata No.2,2353,2637,Kachugaon,253720,Hudumkata,,
18,300,02001,279686,Odlaguri No.1,322,2637,Kachugaon,253720,Hudumkata,,
18,300,02001,279687,Joylaigaon,404,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279688,Alinagar No.2,95,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279689,Koporagaon,373,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279690,Soulmari,82,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279691,Mukuldang,60,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279692,No.1 Chekadani,353,2637,Kachugaon,253727,Kamalsing,,
18,300,02001,279694,No.2 Chekadani,134,2637,Kachugaon,253727,Kamalsing,,
18,300,02001,279695,Kurshakati No.1,1115,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279696,Kurshakati No.2,1080,2637,Kachugaon,261198,Gambaribil,,
18,300,02001,279697,Boro Binnyakhata No.1,178,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279698,Boro Binnyakhata No.2,492,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279699,Choto Binnyakhata,146,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279700,Anthaibari,2372,2637,Kachugaon,253698,Anthaibari (Amritpur),,
18,300,02001,279701,Joymaguri,783,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279702,Hudumkhata No.1,1316,2635,Gossaigaon,273263,Dhauliguri Gossaigaon,,
18,300,02001,279703,Dologaon,3717,2637,Kachugaon,253660,Kurshakati Kokrajhar,,
18,300,02001,279704,Sagunchara,231,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279705,Dhobhai,232,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279706,Kuklingpara,250,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279707,Sejari,230,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279708,Dhotabil,323,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279709,Bhowraguri-Satbil-I,757,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279710,Gorjan No.1,256,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279711,Bhowraguri-Satbil-II,955,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279712,Gorjan No.2,637,2637,Kachugaon,253723,Gardenpur,,
18,300,02001,279713,Bamunkura,569,2637,Kachugaon,253716,Binnyakhata,,
18,300,02001,279714,Guwabari,3276,2637,Kachugaon,253699,Guwabari,,
18,300,02001,279715,Nayagaon,735,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279716,Bhaisiguri,2004,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279717,Resteckpur,441,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279718,Matiajuri,1398,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279719,Harafuta,2741,2636,Hatidhura,253749,Haraputa,,
18,300,02001,279720,Ranguapara,359,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279721,Rangagaon,554,2636,Hatidhura,253742,Bhairiguri,,
18,300,02001,279722,Tarinipur,372,2636,Hatidhura,253747,Srirampur,,
18,300,02001,279723,Shrirampur No.1,5026,2636,Hatidhura,253705,Balagaon,,
18,300,02001,279724,Srirampur-II,229,2636,Hatidhura,253747,Srirampur,,
18,300,02001,279725,Damara,1361,0,STRING ENTERED,253710,Jaraguri Goladangi,,
18,300,02001,279726,Khayarghutu No.1,727,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279727,Khayarghutu No.2,242,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279728,Symaguri,866,2636,Hatidhura,253747,Srirampur,,
18,300,02001,279729,Chandrapur,902,2636,Hatidhura,253747,Srirampur,,
18,300,02001,279730,Simladohi,561,2636,Hatidhura,253747,Srirampur,,
18,300,02001,279731,Jakoppur,902,2636,Hatidhura,253746,Rangsupur,,
18,300,02001,279732,Manjadabri No.2,539,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279733,Manjadabri No.1,313,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279735,Gorumarachar No.1,971,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279736,Adelghuti,135,0,STRING ENTERED,253743,Failaguri,,
18,300,02001,279737,Failaoguri No.1,636,2636,Hatidhura,253743,Failaguri,,
18,300,02001,279738,Salbari,183,0,STRING ENTERED,253746,Rangsupur,,
18,300,02001,279739,Lotamari,449,2636,Hatidhura,253746,Rangsupur,,
18,300,02001,279740,Quantainpur,773,2636,Hatidhura,253746,Rangsupur,,
18,300,02001,279741,Ramsapur,611,2636,Hatidhura,253746,Rangsupur,,
18,300,02001,279742,Kembolpur No.2,503,2636,Hatidhura,253743,Failaguri,,
18,300,02001,279743,Kembolpur No.1,374,2636,Hatidhura,253743,Failaguri,,
18,300,02001,279744,Failaoguri No2,744,2636,Hatidhura,253743,Failaguri,,
18,300,02001,279745,Naishaour Mechpara,544,2636,Hatidhura,253743,Failaguri,,
18,300,02001,279746,Gorumarachar No.2,281,2636,Hatidhura,253745,Majadabri,,
18,300,02001,279747,Naishapur,489,2636,Hatidhura,253744,Grahampur,,
18,300,02001,279748,Mallikapur No.1,511,2636,Hatidhura,253744,Grahampur,,
18,300,02001,279749,Mallikapur No.2,421,2636,Hatidhura,253748,Thakurpur,,
18,300,02001,279750,Mornoi Chabagan,3626,2636,Hatidhura,253748,Thakurpur,,
18,300,02001,279751,Borobadhar,679,2636,Hatidhura,253733,Satyapur,,
18,300,02001,279752,Fauchpur,382,2636,Hatidhura,253748,Thakurpur,,
18,300,02001,279753,Karlingpur,605,2636,Hatidhura,253748,Thakurpur,,
18,300,02001,279754,Kareppur,638,2636,Hatidhura,253744,Grahampur,,
18,300,02001,279755,Anandapur,683,2636,Hatidhura,253744,Grahampur,,
18,300,02001,279756,Palashguri,642,0,STRING ENTERED,253702,Polashguri,,
18,300,02001,279757,Grahampur,605,2636,Hatidhura,253744,Grahampur,,
18,300,02001,279758,Thakurpur,1962,2636,Hatidhura,253748,Thakurpur,,
18,300,02001,279759,Serfanguri No.1,1029,2635,Gossaigaon,253702,Polashguri,,
18,300,02001,279760,Serfanguri No.2,1768,2635,Gossaigaon,253702,Polashguri,,
18,300,02001,279761,Pakriguri,214,2637,Kachugaon,253646,Simborgaon,,
18,300,02001,279762,Kadomguri No.2,1076,2635,Gossaigaon,273263,Dhauliguri Gossaigaon,,
18,300,02001,279763,Dhauliguri,1582,0,STRING ENTERED,273263,Dhauliguri Gossaigaon,,
18,300,02001,279765,Blockkuti,52,2635,Gossaigaon,273263,Dhauliguri Gossaigaon,,
18,300,02001,279766,Modatipar,304,2635,Gossaigaon,253734,Habrubil,,
18,300,02001,279767,Oxiguri,1626,0,STRING ENTERED,243424,TAMARHAT,,
18,300,02001,279768,Habrubil,3582,2635,Gossaigaon,253734,Habrubil,,
18,300,02001,279770,Kadomguri No.1,330,2635,Gossaigaon,273263,Dhauliguri Gossaigaon,,
18,300,02001,279771,Gossaigaon No.1,1089,0,STRING ENTERED,253731,Harbhanga Gossaigaon,,
18,300,02001,279772,Gossaigaon No.2,931,2635,Gossaigaon,253735,Padmabil,,
