STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
24,468,03722,506426,Chher Nani,1357,4151,LAKHPAT,160294,CHHER NANI,,
24,468,03722,506427,Shinapar,479,4151,LAKHPAT,160294,CHHER NANI,,
24,468,03722,506428,Punrajpar,405,4151,LAKHPAT,160319,PUNRAJPUR,,
24,468,03722,506429,Kaner,282,4151,LAKHPAT,160309,LAKHPAT,,
24,468,03722,506430,Lakhpat,566,4151,LAKHPAT,160309,LAKHPAT,,
24,468,03722,506432,Guneri,967,4151,LAKHPAT,160300,GUNERI,,
24,468,03722,506433,Sayra,343,4151,LAKHPAT,160300,GUNERI,,
24,468,03722,506434,Mudhan,659,4151,LAKHPAT,160313,MUDHAN,,
24,468,03722,506435,Siyot,500,4151,LAKHPAT,160322,SIYOT,,
24,468,03722,506436,Atdo,511,4151,LAKHPAT,160313,MUDHAN,,
24,468,03722,506438,Umarsar,155,4151,LAKHPAT,160319,PUNRAJPUR,,
24,468,03722,506440,Baiyavo,143,4151,LAKHPAT,160319,PUNRAJPUR,,
24,468,03722,506441,Maldo,133,4151,LAKHPAT,160294,CHHER NANI,,
24,468,03722,506442,Khengarpar,114,4151,LAKHPAT,160294,CHHER NANI,,
24,468,03722,506443,Chher Moti,588,4151,LAKHPAT,160294,CHHER NANI,,
24,468,03722,506445,Kapurasi,1764,4151,LAKHPAT,160304,KAPURASI,,
24,468,03722,506446,Koriyani,1192,4151,LAKHPAT,160306,KORIYANI,,
24,468,03722,506447,Mundhvay,503,4151,LAKHPAT,160306,KORIYANI,,
24,468,03722,506448,Panandhro,9987,4151,LAKHPAT,160317,PANANDHRO,,
24,468,03722,506449,Fulra,1497,4151,LAKHPAT,160298,FULRA,,
24,468,03722,506450,Akari,102,4151,LAKHPAT,160298,FULRA,,
24,468,03722,506451,Chhuger,165,4151,LAKHPAT,160300,GUNERI,,
24,468,03722,506452,Dhareshi,365,4151,LAKHPAT,160296,DHARESHI,,
24,468,03722,506453,Ghaduli,2460,4151,LAKHPAT,160299,GHADULI,,
24,468,03722,506454,Lakhapar,1042,4151,LAKHPAT,160308,LAKHAPAR,,
24,468,03722,506456,Jara,205,4151,LAKHPAT,160302,JUMARA,,
24,468,03722,506457,Khatiyun (Khatiya),317,4151,LAKHPAT,160308,LAKHAPAR,,
24,468,03722,506458,Virani,1351,4151,LAKHPAT,160324,VIRANI,,
24,468,03722,506459,Khanot,351,4151,LAKHPAT,160312,MINDHIYARI,,
24,468,03722,506460,Naredi,105,4151,LAKHPAT,160314,MUDIYA,,
24,468,03722,506461,Kaiyari,269,4151,LAKHPAT,160306,KORIYANI,,
24,468,03722,506463,Koteshvar,5,4151,LAKHPAT,160316,NARAYAN SAROVAR,,
24,468,03722,506464,Narayan Sarovar,1145,4151,LAKHPAT,160316,NARAYAN SAROVAR,,
24,468,03722,506465,Kanoj,315,4151,LAKHPAT,160316,NARAYAN SAROVAR,,
