STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
23,418,03380,451361,Arrod,4266,4010,VIJAYPUR,151200,ARROD,,
23,418,03380,451362,Imalia,500,4010,VIJAYPUR,151200,ARROD,,
23,418,03380,451363,Jhar Baroda,890,4010,VIJAYPUR,151234,IKLOD,,
23,418,03380,451364,Ransinghpura,500,4010,VIJAYPUR,151200,ARROD,,
23,418,03380,451365,Kishanpura,1574,4010,VIJAYPUR,262899,KISHANPURA,,
23,418,03380,451366,Hullpur,1667,4010,VIJAYPUR,151233,HULLPUR,,
23,418,03380,451367,Barkheda,544,4010,VIJAYPUR,151243,LADPURA,,
23,418,03380,451368,Lahosghani,816,4010,VIJAYPUR,151243,LADPURA,,
23,418,03380,451369,Khitarpal,1867,4010,VIJAYPUR,151239,KHITARPAL,,
23,418,03380,451370,Ladpura,1064,4010,VIJAYPUR,151243,LADPURA,,
23,418,03380,451371,Bhainsai,480,4010,VIJAYPUR,151239,KHITARPAL,,
23,418,03380,451372,Garhi,3706,4010,VIJAYPUR,151224,GARHI,,
23,418,03380,451373,Upcha,1915,4010,VIJAYPUR,151277,UPCHA,,
23,418,03380,451374,Madha,1878,4010,VIJAYPUR,151244,MADHA,,
23,418,03380,451375,Ahiri,500,4010,VIJAYPUR,151264,RANAWAD,,
23,418,03380,451376,Itawai,738,4010,VIJAYPUR,151264,RANAWAD,,
23,418,03380,451377,Ranawad,441,4010,VIJAYPUR,151264,RANAWAD,,
23,418,03380,451378,Gohara,1927,4010,VIJAYPUR,151229,GOHARA,,
23,418,03380,451379,Bharkhoh,449,4010,VIJAYPUR,151264,RANAWAD,,
23,418,03380,451380,Andhupura,735,4010,VIJAYPUR,151205,BARDULA,,
23,418,03380,451381,Sunwai,2910,4010,VIJAYPUR,151272,SUNWAI,,
23,418,03380,451382,Bagrod,2050,4010,VIJAYPUR,151204,BANGROD,,
23,418,03380,451383,Dongarpur (Vijaypur),189,4010,VIJAYPUR,151221,DORD,,
23,418,03380,451384,Dord,3157,4010,VIJAYPUR,151221,DORD,,
23,418,03380,451385,Bardula,749,4010,VIJAYPUR,151205,BARDULA,,
23,418,03380,451386,Arusta,235,4010,VIJAYPUR,151205,BARDULA,,
23,418,03380,451387,Gurja,145,4010,VIJAYPUR,151210,BICHPURI,,
23,418,03380,451388,Bichpuri,1622,4010,VIJAYPUR,151210,BICHPURI,,
23,418,03380,451389,Mewra,1190,4010,VIJAYPUR,151247,MEWARA,,
23,418,03380,451390,Bara Kalan,1579,4010,VIJAYPUR,151247,MEWARA,,
23,418,03380,451391,Pachnaya,1808,4010,VIJAYPUR,151255,PACHNAYA,,
23,418,03380,451392,Gota,4481,4010,VIJAYPUR,151230,GOHATA,,
23,418,03380,451393,Laxmanpura Bijepur,573,4010,VIJAYPUR,151216,DAUDPUR,,
23,418,03380,451394,Khurdwara,478,4010,VIJAYPUR,151231,GOPALPURA,,
23,418,03380,451395,Daudpur,2157,4010,VIJAYPUR,151216,DAUDPUR,,
23,418,03380,451396,Gopalpura,2624,4010,VIJAYPUR,151231,GOPALPURA,,
23,418,03380,451397,Jaipura,500,4010,VIJAYPUR,151231,GOPALPURA,,
23,418,03380,451398,Medawali,1808,4010,VIJAYPUR,151246,MEDAWALI,,
23,418,03380,451399,Chandeli,576,4010,VIJAYPUR,151246,MEDAWALI,,
23,418,03380,451400,Parwati Baroda,1882,4010,VIJAYPUR,151259,PARWATI BARODA,,
23,418,03380,451401,Aroda,1417,4010,VIJAYPUR,151199,ARODA,,
23,418,03380,451402,Benipura,2112,4010,VIJAYPUR,151209,BENIPURA,,
23,418,03380,451403,Chhapar,939,4010,VIJAYPUR,151199,ARODA,,
23,418,03380,451404,Dhamini,1458,4010,VIJAYPUR,151217,DHAMINI,,
23,418,03380,451405,Piparwas,1227,4010,VIJAYPUR,151261,PIPARWAS,,
23,418,03380,451406,Shahpur Khurd,140,4010,VIJAYPUR,262898,DEHRI,,
23,418,03380,451407,Chentikheda,2663,4010,VIJAYPUR,151213,CHENTIKHEDA,,
23,418,03380,451408,Agara,4536,4010,VIJAYPUR,151197,AGRA,,
23,418,03380,451410,Ghorade,508,4010,VIJAYPUR,262898,DEHRI,,
23,418,03380,451411,Dehari,613,4010,VIJAYPUR,262898,DEHRI,,
23,418,03380,451412,Umari Kalan,2788,4010,VIJAYPUR,151276,UMRIKALA,,
23,418,03380,451413,Dodai Kalan,2563,4010,VIJAYPUR,262897,DODRIKALAN,,
23,418,03380,451414,Bamanwas,427,4010,VIJAYPUR,262900,DODRIKHURD,,
23,418,03380,451415,Dodai Khurd,234,4010,VIJAYPUR,262900,DODRIKHURD,,
23,418,03380,451416,Khadera,94,4010,VIJAYPUR,151276,UMRIKALA,,
23,418,03380,451417,Khadi No.1,437,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451418,Nad,236,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451419,Dhamani,86,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451420,Surdeh,614,4010,VIJAYPUR,262900,DODRIKHURD,,
23,418,03380,451421,Dhourera,547,4010,VIJAYPUR,151237,KADWAI,,
23,418,03380,451422,Magardeh,709,4010,VIJAYPUR,151245,MAGARDEH,,
23,418,03380,451423,Similiya,100,4010,VIJAYPUR,151206,BARODAKALA,,
23,418,03380,451424,Jhumka,500,4010,VIJAYPUR,151206,BARODAKALA,,
23,418,03380,451425,Baroda Kalan,3179,4010,VIJAYPUR,151206,BARODAKALA,,
23,418,03380,451426,Nayagaon (Gaswani),495,4010,VIJAYPUR,151206,BARODAKALA,,
23,418,03380,451427,Chimalwani,1552,4010,VIJAYPUR,151214,CHIMALWANI,,
23,418,03380,451428,Kamlapur,500,4010,VIJAYPUR,151214,CHIMALWANI,,
23,418,03380,451429,Deori,1002,4010,VIJAYPUR,151214,CHIMALWANI,,
23,418,03380,451430,Badhwani,179,4010,VIJAYPUR,151270,SIMRAI,,
23,418,03380,451431,Simrai,892,4010,VIJAYPUR,151270,SIMRAI,,
23,418,03380,451432,Dongarpur (Gaswani),574,4010,VIJAYPUR,151270,SIMRAI,,
23,418,03380,451433,Enta,613,4010,VIJAYPUR,151267,SARANGPUR,,
23,418,03380,451434,Sarangpur,1201,4010,VIJAYPUR,151267,SARANGPUR,,
23,418,03380,451435,Gaswani,4038,4010,VIJAYPUR,151254,OCHHA,,
23,418,03380,451436,Mohanpur (Gaswani),696,4010,VIJAYPUR,151241,KINJARI,,
23,418,03380,451437,Kinjari,651,4010,VIJAYPUR,151241,KINJARI,,
23,418,03380,451438,Baroda Khurd,607,4010,VIJAYPUR,151241,KINJARI,,
23,418,03380,451439,Binega,485,4010,VIJAYPUR,151251,NEHARKHEDA,,
23,418,03380,451440,Sehula,559,4010,VIJAYPUR,151251,NEHARKHEDA,,
23,418,03380,451441,Khurka,698,4010,VIJAYPUR,151222,FARARA,,
23,418,03380,451442,Nerkheda,1098,4010,VIJAYPUR,151251,NEHARKHEDA,,
23,418,03380,451443,Dhobini,587,4010,VIJAYPUR,151251,NEHARKHEDA,,
23,418,03380,451444,Kota,339,4010,VIJAYPUR,151222,FARARA,,
23,418,03380,451445,Behata,655,4010,VIJAYPUR,151222,FARARA,,
23,418,03380,451446,Kotari,500,4010,VIJAYPUR,151222,FARARA,,
23,418,03380,451447,Farara,744,4010,VIJAYPUR,151222,FARARA,,
23,418,03380,451448,Sahsram,5544,4010,VIJAYPUR,151266,SAHASRAM,,
23,418,03380,451449,Nitanwas,640,4010,VIJAYPUR,151253,NITANWAS,,
23,418,03380,451450,Seedhini,500,4010,VIJAYPUR,151240,KHURJAN,,
23,418,03380,451451,Patpara,289,4010,VIJAYPUR,151240,KHURJAN,,
23,418,03380,451452,Khurjan,879,4010,VIJAYPUR,151240,KHURJAN,,
23,418,03380,451453,Budhera,1483,4010,VIJAYPUR,151212,BUDHERA,,
23,418,03380,451454,Aal,500,4010,VIJAYPUR,151240,KHURJAN,,
23,418,03380,451455,Dudhai,500,4010,VIJAYPUR,151240,KHURJAN,,
23,418,03380,451456,Gilai,500,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451457,Silpara,403,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451458,Dubera,731,4010,VIJAYPUR,151245,MAGARDEH,,
23,418,03380,451459,Bechai,721,4010,VIJAYPUR,151208,BECHAI,,
23,418,03380,451460,Kadwai,891,4010,VIJAYPUR,151237,KADWAI,,
23,418,03380,451461,Shukrawara,577,4010,VIJAYPUR,151237,KADWAI,,
