STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
29,555,05433,597114,Hadnal,2041,5774,CHIKODI,215779,APPACHIWADI,,
29,555,05433,597115,Sulagaon,1329,5774,CHIKODI,215779,APPACHIWADI,,
29,555,05433,597116,Mattiwade,2088,5774,CHIKODI,215779,APPACHIWADI,,
29,555,05433,597117,Bhatnaganur,1043,5774,CHIKODI,215813,KURLI,,
29,555,05433,597118,Kurli,6069,5774,CHIKODI,215813,KURLI,,
29,555,05433,597119,Appachiwadi,3040,5774,CHIKODI,215779,APPACHIWADI,,
29,555,05433,597120,Koganoli,11059,5774,CHIKODI,215810,KOGANOLLI,,
29,555,05433,597121,Hanabarawadi,1461,5774,CHIKODI,215810,KOGANOLLI,,
29,555,05433,597122,Hanchinal (K.S.),3259,5774,CHIKODI,215776,ADI,,
29,555,05433,597123,Benadi,6647,5774,CHIKODI,215784,BENADI,,
29,555,05433,597124,Bolewadi,992,5774,CHIKODI,215784,BENADI,,
29,555,05433,597125,Akkol,8823,5774,CHIKODI,215777,AKKOL,,
29,555,05433,597126,Padlihal,1948,5774,CHIKODI,215814,LAKHANAPUR,,
29,555,05433,597127,Lakhanapur,1954,5774,CHIKODI,215814,LAKHANAPUR,,
29,555,05433,597128,Jatrat,6025,5774,CHIKODI,215799,JATHRAT,,
29,555,05433,597129,Adi,4261,5774,CHIKODI,215776,ADI,,
29,555,05433,597130,Bhivashi,2176,5774,CHIKODI,215834,SOUNDALGA,,
29,555,05433,597131,Naganur,2716,5774,CHIKODI,215839,YAMAGARANI,,
29,555,05433,597132,Yamagarni,3832,5774,CHIKODI,215839,YAMAGARANI,,
29,555,05433,597133,Soundalga,7789,5774,CHIKODI,215834,SOUNDALGA,,
29,555,05433,597134,Budihal,2114,5774,CHIKODI,215839,YAMAGARANI,,
29,555,05433,597135,Kodni,4688,5774,CHIKODI,215809,KODANI,,
29,555,05433,597136,Gayakanawadi,1544,5774,CHIKODI,215809,KODANI,,
29,555,05433,597137,Shirguppi,3638,5774,CHIKODI,215832,SHIRAGUPPI,,
29,555,05433,597138,Pangeri (B),2202,5774,CHIKODI,215832,SHIRAGUPPI,,
29,555,05433,597139,Budulmukh,1335,5774,CHIKODI,215832,SHIRAGUPPI,,
29,555,05433,597140,Shendur,2708,5774,CHIKODI,215829,SHENDUR,,
29,555,05433,597141,Gondikuppi,1213,5774,CHIKODI,215829,SHENDUR,,
29,555,05433,597142,Yarnal,2657,5774,CHIKODI,215840,YARNAL,,
29,555,05433,597143,Nippani (Rural),141,5774,CHIKODI,215827,PATTANKUDI,,
29,555,05433,597144,Amalzari,1157,5774,CHIKODI,215827,PATTANKUDI,,
29,555,05433,597145,Gavan,1700,5774,CHIKODI,215840,YARNAL,,
29,555,05433,597146,Tavadi,1249,5774,CHIKODI,215840,YARNAL,,
29,555,05433,597147,Manakapur,8346,5774,CHIKODI,215817,MANAKAPUR,,
29,555,05433,597148,Kasanal,1271,5774,CHIKODI,215817,MANAKAPUR,,
29,555,05433,597149,Donewadi,3984,5774,CHIKODI,215805,KARDAGA,,
29,555,05433,597150,Boragaon,16010,5774,CHIKODI,215786,BORGOAN,,
29,555,05433,597151,Boragaonwadi,1535,5774,CHIKODI,215786,BORGOAN,,
29,555,05433,597152,Sadalaga (Rural),43,5774,CHIKODI,215815,MALIKAWAD,,
29,555,05433,597153,Janwad,3872,5774,CHIKODI,215798,JANWAD,,
29,555,05433,597154,Shiradwad,3110,5774,CHIKODI,215830,SHIRADAWAD,,
29,555,05433,597155,Karadaga,8937,5774,CHIKODI,215805,KARDAGA,,
29,555,05433,597156,Barwad,2873,5774,CHIKODI,215781,BARWAD,,
29,555,05433,597157,Mangur,7219,5774,CHIKODI,215818,MANGUR,,
29,555,05433,597158,Kunnur,5921,5774,CHIKODI,215812,KUNNUR,,
29,555,05433,597159,Gajabarwadi,1118,5774,CHIKODI,215812,KUNNUR,,
29,555,05433,597160,Shivapurawadi,1369,5774,CHIKODI,215812,KUNNUR,,
29,555,05433,597161,Bhoj,10524,5774,CHIKODI,215785,BHOJ,,
29,555,05433,597162,Hunnaragi,3903,5774,CHIKODI,215794,HUNNARAGI,,
29,555,05433,597163,Sidnal,2608,5774,CHIKODI,215833,SIDNAL,,
29,555,05433,597164,Mamadapur (KL),2844,5774,CHIKODI,215816,MAMADAPUR,,
29,555,05433,597165,Bhimapurwadi,1209,5774,CHIKODI,215791,GALATAGA,,
29,555,05433,597166,Galatga,9817,5774,CHIKODI,215791,GALATAGA,,
29,555,05433,597167,Dilalapurwadi,940,5774,CHIKODI,215791,GALATAGA,,
29,555,05433,597168,Bedkihal,11355,5774,CHIKODI,215782,BEDKIHAL,,
29,555,05433,597169,Shamanewadi,6228,5774,CHIKODI,215828,SHAMANEWADI,,
29,555,05433,597170,Nej,6875,5774,CHIKODI,215826,NEJ,,
29,555,05433,597171,Nagaral,3445,5774,CHIKODI,215821,NAGARAL,,
29,555,05433,597172,Nanadiwadi,1049,5774,CHIKODI,215824,NANADI,,
29,555,05433,597173,Nanadi,5866,5774,CHIKODI,215824,NANADI,,
29,555,05433,597174,Malikwad,2970,5774,CHIKODI,215815,MALIKAWAD,,
29,555,05433,597175,Examba,15224,5774,CHIKODI,215790,EXAMBA,,
29,555,05433,597176,Kallol,5171,5774,CHIKODI,215803,KALLOL,,
29,555,05433,597177,Yadyanawadi,1216,5774,CHIKODI,215790,EXAMBA,,
29,555,05433,597178,Yadurwadi,2443,5774,CHIKODI,215838,YADOOR,,
29,555,05433,597179,Chandur,3423,5774,CHIKODI,215787,CHANDUR,,
29,555,05433,597180,Chandur - Tek,1599,5774,CHIKODI,215787,CHANDUR,,
29,555,05433,597181,Yadur,2576,5774,CHIKODI,215838,YADOOR,,
29,555,05433,597182,Hosa Yedur,2708,5774,CHIKODI,215838,YADOOR,,
29,555,05433,597183,Ingali,8556,5774,CHIKODI,215795,INGALI,,
29,555,05433,597184,Manjari,8613,5774,CHIKODI,215819,MANJARI,,
29,555,05433,597185,Manjariwadi,1969,5774,CHIKODI,215819,MANJARI,,
29,555,05433,597186,Ankali,11261,5774,CHIKODI,215778,ANKALI,,
29,555,05433,597187,Shiddapurwadi,1736,5774,CHIKODI,215778,ANKALI,,
29,555,05433,597188,Kadapur,6028,5774,CHIKODI,215802,KADAPUR,,
29,555,05433,597189,Jodakurli,5686,5774,CHIKODI,215800,JODAKURALI,,
29,555,05433,597190,Kerur,14758,5774,CHIKODI,215807,KERUR,,
29,555,05433,597191,Roopanal,1431,5774,CHIKODI,215807,KERUR,,
29,555,05433,597192,Hirekudi,11946,5774,CHIKODI,215793,HIREKODI,,
29,555,05433,597193,Chikodi (Rural),241,5774,CHIKODI,215789,CHINCHANI,,
29,555,05433,597194,Kuppanawadi,1144,5774,CHIKODI,215789,CHINCHANI,,
29,555,05433,597195,Girgaon,1315,5774,CHIKODI,215831,SHIRAGOAN,,
29,555,05433,597196,Shirgaon,4572,5774,CHIKODI,215831,SHIRAGOAN,,
29,555,05433,597197,Shiragaonwadi,1554,5774,CHIKODI,215831,SHIRAGOAN,,
29,555,05433,597198,Khadaklat,12155,5774,CHIKODI,215808,KHADAKLAT,,
29,555,05433,597199,Thapakarwadi,688,5774,CHIKODI,215808,KHADAKLAT,,
29,555,05433,597200,Pangire (A),1468,5774,CHIKODI,215788,CHIKKALAWAL,,
29,555,05433,597201,Rampur,1885,5774,CHIKODI,215788,CHIKKALAWAL,,
